session_id,fingerprint,type,agents,status,first_seen_round,last_seen_round,resolved_in_round,persistence_count
5cd28aad-f9eb-4b90-b97a-3eab001da7e6,0cc6bb5b2a3eeda9,location_mismatch,experience|hotel,resolved,1,2,3,1
5cd28aad-f9eb-4b90-b97a-3eab001da7e6,679e2e12ef14f919,timing_inefficiency,flight,persisting,1,3,,2
5cd28aad-f9eb-4b90-b97a-3eab001da7e6,e5b405cba6057485,location_mismatch,experience|hotel,new,3,3,,0
6171e14e-bea9-46a6-886e-38110c9e2032,170d002f1f7f8154,location_mismatch,experience|hotel,persisting,1,1,,1
007ac49f-a6d2-4eaf-8e4d-5ba0ee7cb8b8,5c79c09a12069f06,location_mismatch,experience|hotel,resolved,1,2,3,1
007ac49f-a6d2-4eaf-8e4d-5ba0ee7cb8b8,0056cfead802e488,location_mismatch,experience|hotel,new,3,3,,0
be71aacf-f292-423a-a6bc-ec54c5e734e0,d7dab75149c96bfd,location_mismatch,experience|hotel,persisting,1,1,,1
b24430ec-4672-4540-ac8b-760c5cb077e3,41bca44ef35a6600,location_mismatch,experience|hotel,persisting,1,3,,2
be7ba147-b619-4692-bfcf-f88b386aec96,aad525de5ce1b338,location_mismatch,experience|hotel,persisting,1,1,,1
a4959c31-31a7-4505-99e7-6d798ec1c35f,679e2e12ef14f919,timing_inefficiency,flight,persisting,1,3,,2
9ae72c80-e197-49fc-834a-b541b8fea16f,679e2e12ef14f919,timing_inefficiency,flight,persisting,1,1,,1
a324f540-1f5a-4762-a347-86aa60a7b773,c8df03ce980bd054,location_mismatch,experience|hotel,persisting,1,1,,1
a324f540-1f5a-4762-a347-86aa60a7b773,679e2e12ef14f919,timing_inefficiency,flight,persisting,1,1,,1
37090bbf-cb9c-4d6d-b2fd-597132ba44bf,c5403525de283a58,location_mismatch,experience|hotel,persisting,1,3,,2
a10a40da-b241-44a5-8330-6dc24c4850c4,89d63b73ccd02e11,location_mismatch,experience|hotel,persisting,1,1,,1
3bbab8ba-f341-41b1-a96f-1456e8c07371,6ff8f6fc30ae9af8,location_mismatch,experience|hotel,resolved,1,2,3,1
3bbab8ba-f341-41b1-a96f-1456e8c07371,679e2e12ef14f919,timing_inefficiency,flight,persisting,1,3,,2
3bbab8ba-f341-41b1-a96f-1456e8c07371,6b8d1541f0829d60,location_mismatch,experience|hotel,new,3,3,,0
1e421550-404c-450e-878b-6837df9c86f5,6ff8f6fc30ae9af8,location_mismatch,experience|hotel,persisting,1,1,,1
1e421550-404c-450e-878b-6837df9c86f5,679e2e12ef14f919,timing_inefficiency,flight,persisting,1,1,,1
a6b2f83d-b49b-42f1-8991-212af407d61d,9cd667d1a205c31a,location_mismatch,experience|hotel,resolved,1,2,3,1
a6b2f83d-b49b-42f1-8991-212af407d61d,679e2e12ef14f919,timing_inefficiency,flight,persisting,1,3,,2
a6b2f83d-b49b-42f1-8991-212af407d61d,6321a7ce1a033107,location_mismatch,experience|hotel,new,3,3,,0
5c3b0cba-2f03-4403-8dd2-0d17cd86775a,9cd667d1a205c31a,location_mismatch,experience|hotel,persisting,1,1,,1
5c3b0cba-2f03-4403-8dd2-0d17cd86775a,679e2e12ef14f919,timing_inefficiency,flight,persisting,1,1,,1
695ff1b8-9cb6-412a-a97a-3f4800945c3d,fc3d26d097084d98,location_mismatch,experience|hotel,persisting,1,3,,2
695ff1b8-9cb6-412a-a97a-3f4800945c3d,679e2e12ef14f919,timing_inefficiency,flight,persisting,1,3,,2
ad5db890-0dcd-4ada-a7dc-9a20a551837d,95eed4ad7a50ef41,location_mismatch,experience|hotel,persisting,1,1,,1
ad5db890-0dcd-4ada-a7dc-9a20a551837d,679e2e12ef14f919,timing_inefficiency,flight,persisting,1,1,,1
34920db3-3711-432f-9183-55213d094211,679e2e12ef14f919,timing_inefficiency,flight,resolved,1,1,2,0
b29f5c5c-97fd-4795-945c-74d5287d738b,679e2e12ef14f919,timing_inefficiency,flight,persisting,1,1,,1
